#;RefDes;Name;Pattern;Value;Quantity
1;C1, C2, C7;GRM21BR61A106KE19B;CAP_0805_L;10uF;3
2;C3;GRM32ER71E226KE15L;CAP_1210_L;22uF;1
3;C4, C9, C10, C11;GRM155R61C105KA12D;CAP_0402_L;1uF;4
4;C5;GRM2165C1H471JA01D;CAP_0805_L;470pF;1
5;C6;TECAP2.2/16VA10;CAPPM320X160X185L80X120N;2.2uF;1
6;C8, C12;GRM21BR71H104K;CAP_0805_L;0.1uF;2
7;IC1;SK6805-2427;SK68052427;;1
8;L1;B82472G6472M000;IND(4.7)_B82472G6472M000;4.7uH;1
9;Q1, Q2;BSS138LT1G;SOT23-3P95_240X110L43X44N;;2
10;Q3, Q4;BC817-16,235;SOT23-3P95_230X110L30X43N;;2
11;R1;RC0402FR-071K2L;RES_0402_L;1.2k;1
12;R2, R3, R4, R8;RC0402FR-0730KL;RES_0402_L;30k;4
13;R5, R9, R10, R11, R12;RC0805JR-0710KL;RES_0805_L;10k;5
14;R6, R7;RC0402JR-07390RL;RES_0402_L;390R;2
15;U1;ETA9640;SOIC9P127_493X599X154L63X40T285X225M;;1
16;U2;MIC5219-3.3YM5;SOT23-5;;1
17;U3;ESP32-WROOM-32;MODULE_ESP32-WROOM-32;;1
18;XP1, XP2, XP5, XP6, XP7;DS1066-02M;DS1066-02M;;5
19;XP3, XP4;PLS_20;PLS_20;;2
20;XP8;PLS_6R;PLS_6R;;1
